perturbation_id,target_gene,age_UP_enrichment,age_DOWN_enrichment,mimetic_score,is_ARE_gene,is_age_UP,is_age_DOWN
503_ARL16_P1P2_ENSG00000214087,ARL16,0.09309603013000034,-0.14032585103715345,0.2334218811671538,False,False,False
11042_non-targeting_non-targeting_non-targeting,non-targeting,0.014181482706686616,-0.2186549801802459,0.23283646288693252,False,False,False
11146_non-targeting_non-targeting_non-targeting,non-targeting,0.028381457639446793,-0.2044332480317249,0.2328147056711717,False,False,False
7840_SFI1_P1P2_ENSG00000198089,SFI1,0.001378698188378215,-0.23120610717446868,0.2325848053628469,False,False,False
1440_CDK6_P1_ENSG00000105810,CDK6,0.08786067545937772,-0.14434128171617308,0.2322019571755508,False,False,False
9868_WNK2_P1P2_ENSG00000165238,WNK2,0.12355889054862325,-0.10818247790931898,0.23174136845794224,False,False,False
4527_LBR_P1P2_ENSG00000143815,LBR,0.15253209942242613,-0.0790249378504991,0.23155703727292523,False,False,False
1873_CRIPT_P1P2_ENSG00000119878,CRIPT,-0.0008547517829588122,-0.23236855608899035,0.23151380430603152,False,False,False
4786_MAN2A1_P1P2_ENSG00000112893,MAN2A1,0.00020135979502392128,-0.23115960921788783,0.23136096901291175,False,True,False
7978_SLC20A2_P1P2_ENSG00000168575,SLC20A2,0.07750297416636012,-0.15378700946731616,0.23128998363367628,False,False,False
4432_KLHL11_P1P2_ENSG00000178502,KLHL11,0.15365807052113148,-0.0774871840007175,0.23114525452184898,False,False,False
1225_CBR4_P1P2_ENSG00000145439,CBR4,0.10159834474029718,-0.12818656308693285,0.22978490782723004,False,False,False
7303_RIC8A_P2_ENSG00000177963,RIC8A,0.10679671495877256,-0.1228525832105842,0.22964929816935675,False,False,False
8145_SMARCAL1_P1P2_ENSG00000138375,SMARCAL1,0.05176179547187027,-0.1773083329320117,0.22907012840388197,False,False,False
6244_PFKL_P1_ENSG00000141959,PFKL,0.05450069962255314,-0.17430589344993255,0.2288065930724857,False,True,False
10662_ZNF829_P1P2_ENSG00000185869,ZNF829,0.06811919677988708,-0.1602369403016056,0.22835613708149266,False,False,False
3789_HIST2H2BF_P1P2_ENSG00000203814,HIST2H2BF,0.0967369439747191,-0.13080705506852633,0.22754399904324543,False,False,False
10769_non-targeting_non-targeting_non-targeting,non-targeting,0.09069615012400069,-0.13613107109703634,0.22682722122103705,False,False,False
5261_MRPS31_P1P2_ENSG00000102738,MRPS31,0.07652905025981578,-0.15013359859310477,0.22666264885292053,False,False,False
4179_IRAK1_P1_ENSG00000184216,IRAK1,0.07193065004284031,-0.15466382807712692,0.22659447811996725,False,False,False
1364_CD3D_P1P2_ENSG00000167286,CD3D,0.141607303196484,-0.08467776085768801,0.22628506405417204,False,False,False
11044_non-targeting_non-targeting_non-targeting,non-targeting,0.04948725166481405,-0.17667396795294404,0.2261612196177581,False,False,False
4274_KAT2A_P1P2_ENSG00000108773,KAT2A,0.09012289111571817,-0.13570594692258267,0.22582883803830084,False,False,False
