pathway,pathway_size,overlap,pval,odds_ratio,gene_list,fdr
ROSS_AML_WITH_CBFB_MYH11_FUSION,52,1,0.07393555476382241,13.41452977750178,MYH11,0.21848765093547648
WU_SILENCED_BY_METHYLATION_IN_BLADDER_CANCER,52,1,0.07393555476382241,13.41452977750178,MYH11,0.21848765093547648
ISHIDA_E2F_TARGETS,53,1,0.07530309674384073,13.156331865083288,CDCA7,0.21848765093547648
WP_CARDIAC_PROGENITOR_DIFFERENTIATION,53,1,0.07530309674384073,13.156331865083288,TBX20,0.21848765093547648
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,1,0.07530309674384073,13.156331865083288,EPCAM,0.21848765093547648
WP_8P231_COPY_NUMBER_VARIATION_SYNDROME,54,1,0.07666864268930462,12.907877267951772,XKR6,0.21848765093547648
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,312,2,0.07788142038381862,4.4464668031310755,"F5, NEU1",0.21848765093547648
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES,55,1,0.07803219547935669,12.66862469093144,ATP2A1,0.21848765093547648
RICKMAN_HEAD_AND_NECK_CANCER_F,55,1,0.07803219547935669,12.66862469093144,CASQ2,0.21848765093547648
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION,55,1,0.07803219547935669,12.66862469093144,PDE11A,0.21848765093547648
